Method, Input Class, Average Loop Count, Average Time
Shell,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 500.txt,7,0.1238596069869
Radix,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 500.txt,7,0.107310043668122
Heap,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 500.txt,17,0.166228384279476
Merge,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 500.txt,13,0.29924519650655
Quick,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 500.txt,3,0.794846943231441
Insertion,C:\Users\ethan\source\repos\Term Project\Text Files\Double Random Numbers 1000.txt,537,2.04718362445415
Bubble,C:\Users\ethan\source\repos\Term Project\Text Files\Double Random Numbers 1000.txt,1075,15.8186967248908
Shell,C:\Users\ethan\source\repos\Term Project\Text Files\Double Random Numbers 1000.txt,17,1.15413515283843
Radix,C:\Users\ethan\source\repos\Term Project\Text Files\Double Random Numbers 1000.txt,19,0.325994323144105
Heap,C:\Users\ethan\source\repos\Term Project\Text Files\Double Random Numbers 1000.txt,35,0.418069650655022
Merge,C:\Users\ethan\source\repos\Term Project\Text Files\Double Random Numbers 1000.txt,28,1.0029115720524
Quick,C:\Users\ethan\source\repos\Term Project\Text Files\Double Random Numbers 1000.txt,25,0.453801528384279
Insertion,C:\Users\ethan\source\repos\Term Project\Text Files\Random Numbers 1000.txt,536,2.63702620087336
Bubble,C:\Users\ethan\source\repos\Term Project\Text Files\Random Numbers 1000.txt,1073,12.8361253275109
Shell,C:\Users\ethan\source\repos\Term Project\Text Files\Random Numbers 1000.txt,17,0.966488864628821
Radix,C:\Users\ethan\source\repos\Term Project\Text Files\Random Numbers 1000.txt,19,0.337776419213973
Heap,C:\Users\ethan\source\repos\Term Project\Text Files\Random Numbers 1000.txt,36,0.426889301310043
Merge,C:\Users\ethan\source\repos\Term Project\Text Files\Random Numbers 1000.txt,28,0.784374672489082
Quick,C:\Users\ethan\source\repos\Term Project\Text Files\Random Numbers 1000.txt,31,0.428251746724891
Insertion,C:\Users\ethan\source\repos\Term Project\Text Files\Reverse Sorted Numbers 1000.txt,531,3.95920265957446
